T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;ENDLINE
T00;T01;R02;R02;R02;R02;T02;R02;R02;T01;T02;R02;R02;T01;T02;R02;R02;T01;T02;R02;R02;T01;T02;R02;R02;T01;T02;R02;R02;T01;T02;T00;ENDLINE
T00;T05;T06;T17;T17;T05;T06;R00;R00;T05;T06;R00;R00;T05;T06;R00;R00;T05;T06;R00;R00;T05;T06;R00;R00;T05;T06;R00;R00;T05;T06;T00;ENDLINE
T00;T26;T17;R00;R00;T17;T17;R00;R00;T17;T26;R00;R00;T17;T17;R00;R00;T17;T17;R00;R00;T26;T17;R00;R00;T17;T17;R00;R00;T17;T26;T00;ENDLINE
T00;T26;R00;R00;R00;R00;R00;R00;R00;R00;T26;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;T26;R00;R00;R00;R00;R00;R00;R00;R00;T26;T00;ENDLINE
T00;T26;R00;R00;R00;R00;R00;R00;R00;R00;T26;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;T26;R00;R00;R00;R00;R00;R00;R00;R00;T26;T00;ENDLINE
T00;T05;T02;R00;R00;T01;T02;R00;R00;T01;R00;R02;R02;R02;T02;R00;R00;T01;R02;R02;R02;R00;T02;R00;R00;T01;T02;R00;R00;T01;T06;T00;ENDLINE
T00;T05;T06;R00;R00;T05;T06;R00;R00;T05;T06;T17;T17;T05;T06;R00;R00;T05;T06;T17;T17;T05;T06;R00;R00;T05;T06;R00;R00;T05;T06;T00;ENDLINE
T00;T26;T17;R00;R00;T17;T17;R00;R00;T17;T17;R00;R00;T26;T17;R00;R00;T17;T26;R00;R00;T17;T17;R00;R00;T17;T17;R00;R00;T17;T26;T00;ENDLINE
T00;T26;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;T26;R00;R00;R00;R00;T26;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;T26;T00;ENDLINE
T00;T26;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;T26;R00;R00;R00;R00;T26;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;T26;T00;ENDLINE
T00;T05;R02;R02;R02;R02;R02;R02;R02;R02;T02;R00;R00;T05;T02;R00;R00;T01;T06;R00;R00;T01;T02;R00;R00;T01;T02;R00;R00;T01;T06;T00;ENDLINE
T00;T05;T06;T17;T17;T05;T06;T17;T17;T05;T06;R00;R00;T05;T06;r00;R00;T05;T06;R00;R00;T05;T06;R00;R00;T05;T06;R00;R00;T05;T06;T00;ENDLINE
T00;T26;T17;R00;R00;T03;T04;R00;R00;T17;T26;R00;R00;T17;T17;R00;R00;T17;T17;R00;R00;T17;T17;R00;R00;T17;T17;R00;R00;T17;T26;T00;ENDLINE
T00;T26;R00;R00;R00;T03;T04;R00;R00;R00;T26;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;T26;T00;ENDLINE
T00;T26;R00;R00;R00;R00;R00;R00;R00;R00;T26;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;T26;T00;ENDLINE
T00;T05;T02;R00;R00;R00;R00;R00;R00;T01;T06;R00;R00;T01;T02;R00;R00;T01;T02;R00;R00;T01;T02;R00;R00;T01;T02;R00;R00;T01;T06;T00;ENDLINE
T00;T05;T06;R00;R00;R00;R00;R00;R00;T05;T06;R00;R00;T05;T06;R00;R00;T05;T06;R00;R00;T05;T06;R00;R00;T05;T06;R00;R00;T05;T06;T00;ENDLINE
T00;T26;T17;R00;R00;R00;R00;R00;R00;T17;T26;R00;R00;T17;T17;R00;R00;T17;T17;R00;R00;T17;T17;R00;R00;T17;T17;R00;R00;T17;T26;T00;ENDLINE
T00;T26;R00;R00;R00;R00;R00;R00;R00;R00;T26;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;T26;T00;ENDLINE
T00;T26;R00;R00;R00;R00;R00;R00;R00;R00;T26;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;R00;T26;T00;ENDLINE
T00;T05;T02;R00;R00;T01;T02;R00;R00;T01;T06;R00;R00;T01;T02;R00;R00;T01;T02;R00;R00;T01;T02;R00;R00;T01;T02;R00;R00;T01;T06;T00;ENDLINE
T00;T03;T04;R00;R00;T03;T04;R00;R00;T03;R01;T30;T30;R01;T04;R00;R00;T03;T04;R00;R00;T03;T04;R00;R00;T03;T04;R00;R00;T03;T04;T00;ENDLINE
T00;T18;T18;R01;R01;T18;T18;R01;R01;T18;T18;T18;T18;T18;T18;R01;R01;T18;T18;R01;R01;T18;T18;R01;R01;T18;T18;R01;R01;T18;T18;T00;ENDLINE
T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;T00;ENDLINE
